alerta_num,prioridad,lon,lat
1,Media,-76.42676080603009,-13.09542625236334
2,Media,-76.42445524643229,-13.095438995568788
3,Media,-76.4241441927812,-13.041199844897635
4,Media,-76.42413126268355,-13.0389398752014
5,Media,-76.42216265443703,-13.097711679971894
6,Baja,-76.42213671678859,-13.09319175598353
7,Media,-76.4198959306422,-13.104504273984888
8,Media,-76.41988297431456,-13.10224431115102
9,Media,-76.41957275176392,-13.04800508089305
10,Media,-76.41761615757194,-13.109036893438455
11,Media,-76.41759027967557,-13.104516964467209
12,Media,-76.41746103585757,-13.081917295140649
13,Baja,-76.41528462628092,-13.104529634341915
14,Media,-76.41527171199643,-13.102269666984109
15,Media,-76.41516848497426,-13.084189913442412
16,Media,-76.41297897046219,-13.10454228360891
17,Baja,-76.41296607719941,-13.102282313994642
18,Media,-76.41294029793383,-13.097762373542556
19,Media,-76.41067331222334,-13.10455491226809
20,Media,-76.41064757015755,-13.100034968126153
21,Media,-76.41062183775561,-13.095515022353158
22,Baja,-76.40835480034933,-13.102307546203193
23,Media,-76.40834195154245,-13.10004757167924
24,Media,-76.40831626116469,-13.095527621408229
25,Baja,-76.40602350513464,-13.097800177454635
26,Baja,-76.40360277158446,-13.077472904463049
27,Baja,-76.40357721332569,-13.072952937073024
28,Media,-76.4012718393984,-13.072965451970402
29,Media,-76.39697967730203,-13.129490062905546
30,Media,-76.39469928062344,-13.134022536674594
31,Media,-76.39468652447886,-13.13176255444518
32,Baja,-76.39454636459311,-13.1069027229811
33,Media,-76.39202498074475,-13.068495314671305
34,Media,-76.39201231482195,-13.066235318401944
35,Media,-76.38741429046303,-13.068520109468976
36,Media,-76.38546279002881,-13.131812392434224
37,Media,-76.38545012055478,-13.129552400923092
38,Media,-76.38541212637581,-13.122772423940832
39,Baja,-76.3852351026212,-13.091132482834732
40,Baja,-76.38498301800638,-13.045932428609222
41,Baja,-76.38486988927623,-13.025592351224905
42,Media,-76.38297998845088,-13.100184851097538
43,Media,-76.38083828121084,-13.129577191584662
44,Baja,-76.38078779553791,-13.120537203801314
45,Baja,-76.38077518003396,-13.118277205835694
46,Media,-76.37625160514426,-13.134121899890772
47,Media,-76.37611327178159,-13.109261878363546
48,Baja,-76.37598776168883,-13.086661816009622
49,Media,-76.3739456350554,-13.134134227336444
50,Media,-76.37383262152557,-13.11379419364399
51,Baja,-76.37358216274237,-13.068594000656525
52,Baja,-76.37163966261217,-13.134146534124826
53,Media,-76.37158949511326,-13.125106514465886
54,Media,-76.37146424085341,-13.102506436780011
55,Baja,-76.37141420492723,-13.093466394301272
56,Baja,-76.37127679986932,-13.068606243927622
57,Baja,-76.37126432258725,-13.066346227818874
58,Media,-76.36928360459594,-13.125118791848656
59,Media,-76.36925857706153,-13.1205987751981
60,Baja,-76.36919604927655,-13.109298726438896
61,Media,-76.36917105458082,-13.104778704083468
62,Baja,-76.36913358012562,-13.097998667496524
63,Baja,-76.36697771173255,-13.125131048588647
64,Media,-76.36458455587314,-13.109323188737408
65,Baja,-76.36452229696079,-13.098023107984044
66,Baja,-76.36235346722142,-13.122895485479663
67,Media,-76.36234101779365,-13.120635470411829
68,Baja,-76.36229124342188,-13.111595406065735
69,Baja,-76.36220422811193,-13.0957752777824
70,Baja,-76.35997305311984,-13.109347568566966
71,Baja,-76.35310520989225,-13.118424084320951
72,Baja,-76.3508734496058,-13.131996341771574
73,Media,-76.35077468715951,-13.113916136265498
74,Media,-76.34850583634555,-13.120708303672297
75,Baja,-76.34849351556376,-13.118448275219023
76,Media,-76.34848119709223,-13.11618824635851
77,Baja,-76.34586868118437,-13.059699401292493
78,Baja,-76.34389409067128,-13.12073241633644
79,Baja,-76.34388181199428,-13.118472383586624
80,Baja,-76.3323281728697,-13.114012205355182
81,Baja,-76.33004664615565,-13.118544213498913
82,Baja,-76.33002234827113,-13.114024121175696
83,Baja,-76.32772864815182,-13.116296064855856
84,Baja,-76.3277165213941,-13.114036016370182
85,Media,-76.28854065985709,-13.118755246344698
