alerta_num,x,y,altitud,pendiente,dist_acequia,dist_rio,probabilidad,lat,lon
1,368455.9958760397,8557287.198317887,372.0,25.11013373082374,6576.658822013139,406.2083494090417,0.98,-13.047588435507931,-76.21319232880741
2,346205.9958760397,8550887.198317887,6.0,1.3084424638581322,1070.4418821790389,315.8043218378476,0.94,-13.104400654971704,-76.41868717617616
3,365405.9958760397,8553837.198317887,283.0,16.583793856587196,2095.2972408564847,208.2059051939348,0.91,-13.078644931536724,-76.24147282419975
4,351855.9958760397,8551537.198317887,47.0,2.773938865193209,161.85978563265212,2624.683744920257,0.91,-13.098806145372578,-76.36654645588328
5,349305.9958760397,8549487.198317887,18.0,1.850095540772776,579.8816456723657,550.0886183838327,0.9,-13.11721237182974,-76.39016800795262
6,350355.9958760397,8551537.198317887,32.0,2.0682900365601222,1169.921010438547,2393.045375831475,0.9,-13.09873246384076,-76.3803803091361
7,349255.9958760397,8549537.198317887,18.0,1.8500955407727733,594.3660194553225,620.4979711974788,0.89,-13.11675788427744,-76.39062662682659
8,351705.9958760397,8552187.198317887,40.0,2.0682900365601222,319.60444586237884,3232.3248307201657,0.87,-13.092922773316149,-76.3678974107059
9,361355.9958760397,8549937.198317887,152.0,2.0682900365601222,346.7174677602453,481.3197100614533,0.87,-13.11372017433258,-76.27900484106635
10,348155.9958760397,8550887.198317887,14.0,2.6155216134963046,216.50308284636137,1788.410365463418,0.86,-13.10449900913257,-76.40070303257619
11,348605.9958760397,8547787.198317887,15.0,10.43394402409214,1863.293266639619,198.31979736342663,0.86,-13.132545315779227,-76.39671104152508
12,349505.9958760397,8550937.198317887,24.0,1.8500955407727733,555.9314929273615,1844.3362180834708,0.85,-13.10411436731482,-76.38824985227458
13,363555.9958760397,8552637.198317887,229.0,12.226123532347671,324.4803390416964,124.53538184990234,0.85,-13.089410906194535,-76.25858907722156
14,349405.9958760397,8555237.198317887,52.0,6.18344801057098,273.3595768500044,5550.542262748102,0.84,-13.065237465885556,-76.38895443354858
15,349255.9958760397,8550537.198317887,20.0,2.0682900365601222,94.145907728296,1505.250007257049,0.84,-13.107717925099957,-76.39057583476404
